date,metric,value,unit,source,fetched_at,raw_ref
2016-05-09,PorcVoluUtilDiar,0.41691,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-09,PrecBolsNaci,136.3967933333333,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-09,VoluUtilDiarEner,7206710500,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-10,AporEner,237395600,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-10,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-10,CapaUtilDiarEner,17285928633,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-10,DemaSIN,174680789.46,kWh,xm:servapibi,2026-09-22T18:59:24Z,xm/2016/05/DemaSIN_Sistema.ndjson.gz#DemaSIN:Sistema:2016-05-01:2016-05-31
2016-05-10,PorcApor,1.05458,fraction,xm:servapibi,2026-09-22T18:59:22Z,xm/2016/05/PorcApor_Sistema.ndjson.gz#PorcApor:Sistema:2016-05-01:2016-05-31
2016-05-10,PorcVoluUtilDiar,0.42047,fraction,xm:servapibi,2026-09-22T18:59:16Z,xm/2016/05/PorcVoluUtilDiar_Sistema.ndjson.gz#PorcVoluUtilDiar:Sistema:2016-05-01:2016-05-31
2016-05-10,PrecBolsNaci,132.8035833333334,COP/kWh,xm:servapibi,2026-09-22T18:59:27Z,xm/2016/05/PrecBolsNaci_Sistema.ndjson.gz#PrecBolsNaci:Sistema:2016-05-01:2016-05-31
2016-05-10,VoluUtilDiarEner,7268159500,kWh,xm:servapibi,2026-09-22T18:59:17Z,xm/2016/05/VoluUtilDiarEner_Sistema.ndjson.gz#VoluUtilDiarEner:Sistema:2016-05-01:2016-05-31
2016-05-11,AporEner,168105200,kWh,xm:servapibi,2026-09-22T18:59:20Z,xm/2016/05/AporEner_Sistema.ndjson.gz#AporEner:Sistema:2016-05-01:2016-05-31
2016-05-11,AporEnerMediHist,225110000,kWh,xm:servapibi,2026-09-22T18:59:21Z,xm/2016/05/AporEnerMediHist_Sistema.ndjson.gz#AporEnerMediHist:Sistema:2016-05-01:2016-05-31
2016-05-11,CapaUtilDiarEner,17276246093,kWh,xm:servapibi,2026-09-22T18:59:19Z,xm/2016/05/CapaUtilDiarEner_Sistema.ndjson.gz#CapaUtilDiarEner:Sistema:2016-05-01:2016-05-31
