date,concepto,dia_kwh,pct_dia,mes_kwh,pct_mes,anio_kwh,pct_anio,ultimos365_kwh,tipo_dia,tipo_dia_anio_anterior,source,fetched_at,raw_ref
2018-01-03,total_perdidas_transporte,8615018.277,8.67,23962839.533,56.132,23962839.533,56.132,1454805229.509,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:12Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-03
2018-01-04,demanda_distribucion,64130475.596,3.243,228482763.805,39.02,228482763.805,39.02,21417325040.647,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,exportacion_colombia,4838480.252,4.98,14029303.484,52.645,14029303.484,52.645,229329117.494,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,exportacion_peru,0,0,0,0,0,0,15835543.635,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,generacion_hidraulica,65686708.635,1.288,231833088.933,39.535,231833088.933,39.535,20161002255.488,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,generacion_motores_bunker,2331455.592,24.038,7315856.735,46.775,7315856.735,46.775,1051280299.991,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,generacion_otros_tipos,291105.702,5.5,1050695.742,38.324,1050695.742,38.324,124807456.306,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,generacion_turbinas_diesel,181780.899,-10.168,750546.256,31.961,750546.256,31.961,104725410.304,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,generacion_turbinas_gas,2942821.646,3.99,12200783.509,31.787,12200783.509,31.787,1205803767.528,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
2018-01-04,generacion_turbinas_nafta,0,0,0,0,0,0,0,Laboral,Laboral,smec:ResultadoInforme1,2026-09-22T01:41:13Z,cenace_smec/2018/01/ResultadoInforme1.ndjson.gz#informe1:2018-01-04
