issued,site,river_id,member,lead_days,q_m3s,store_key,etag,fetched_at
2026-01-03,agoyan,621014469,high_res,4,180.783,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,agoyan,621014469,high_res,5,218.454,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,agoyan,621014469,high_res,6,244.598,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,agoyan,621014469,high_res,7,226.558,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,agoyan,621014469,high_res,8,236.231,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,agoyan,621014469,high_res,9,241.011,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,1,168.998,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,10,687.573,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,2,359.635,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,3,805.321,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,4,519.483,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,5,1011.746,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,6,1086.45,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,7,1187.107,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,8,880.074,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,manduriacu,670078161,high_res,9,813.021,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,minas_san_francisco,670027091,high_res,1,54.732,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,minas_san_francisco,670027091,high_res,10,295.65,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,minas_san_francisco,670027091,high_res,2,52.995,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,minas_san_francisco,670027091,high_res,3,100.561,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,minas_san_francisco,670027091,high_res,4,122.306,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,minas_san_francisco,670027091,high_res,5,122.724,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,minas_san_francisco,670027091,high_res,6,108.38,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
2026-01-03,minas_san_francisco,670027091,high_res,7,116.141,s3://geoglows-v2-forecasts/2026010300.zarr,4f808d8943a4cf476d57048ae5756050,2026-09-25T06:35:01Z
