site,river_id,month_day,horizon_days,first_year,last_year,median_m3s
minas_san_francisco,670027091,03-19,7,1940,2023,230.341
agoyan,621014469,03-20,7,1940,2023,488.706
manduriacu,670078161,03-20,7,1940,2023,625.513
minas_san_francisco,670027091,03-20,7,1940,2023,227.592
agoyan,621014469,03-21,7,1940,2023,494.005
manduriacu,670078161,03-21,7,1940,2023,625.739
minas_san_francisco,670027091,03-21,7,1940,2023,227.268
agoyan,621014469,03-22,7,1940,2023,484.329
manduriacu,670078161,03-22,7,1940,2023,619.323
minas_san_francisco,670027091,03-22,7,1940,2023,233.153
agoyan,621014469,03-23,7,1940,2023,487.96
manduriacu,670078161,03-23,7,1940,2023,613.733
minas_san_francisco,670027091,03-23,7,1940,2023,229.504
agoyan,621014469,03-24,7,1940,2023,496.696
manduriacu,670078161,03-24,7,1940,2023,626.731
minas_san_francisco,670027091,03-24,7,1940,2023,233.156
agoyan,621014469,03-25,7,1940,2023,493.453
manduriacu,670078161,03-25,7,1940,2023,622.55
minas_san_francisco,670027091,03-25,7,1940,2023,233.163
agoyan,621014469,03-26,7,1940,2023,503.327
manduriacu,670078161,03-26,7,1940,2023,622.892
minas_san_francisco,670027091,03-26,7,1940,2023,223.71
agoyan,621014469,03-27,7,1940,2023,480.479
manduriacu,670078161,03-27,7,1940,2023,627.497
minas_san_francisco,670027091,03-27,7,1940,2023,222.39
agoyan,621014469,03-28,7,1940,2023,481.461
manduriacu,670078161,03-28,7,1940,2023,629.54
minas_san_francisco,670027091,03-28,7,1940,2023,232.015
agoyan,621014469,03-29,7,1940,2023,466.762
manduriacu,670078161,03-29,7,1940,2023,626.465
minas_san_francisco,670027091,03-29,7,1940,2023,232.894
agoyan,621014469,03-30,7,1940,2023,476.228
manduriacu,670078161,03-30,7,1940,2023,643.881
minas_san_francisco,670027091,03-30,7,1940,2023,233.823
agoyan,621014469,03-31,7,1940,2023,484.427
manduriacu,670078161,03-31,7,1940,2023,646.584
minas_san_francisco,670027091,03-31,7,1940,2023,231.528
agoyan,621014469,04-01,7,1940,2023,501.64
manduriacu,670078161,04-01,7,1940,2023,645.867
minas_san_francisco,670027091,04-01,7,1940,2023,233.884
agoyan,621014469,04-02,7,1940,2023,498.45
manduriacu,670078161,04-02,7,1940,2023,642.745
minas_san_francisco,670027091,04-02,7,1940,2023,233.012
agoyan,621014469,04-03,7,1940,2023,487.439
manduriacu,670078161,04-03,7,1940,2023,659.026
minas_san_francisco,670027091,04-03,7,1940,2023,229.704
agoyan,621014469,04-04,7,1940,2023,492.061
manduriacu,670078161,04-04,7,1940,2023,655.994
minas_san_francisco,670027091,04-04,7,1940,2023,219.627
agoyan,621014469,04-05,7,1940,2023,490.085
manduriacu,670078161,04-05,7,1940,2023,660.809
minas_san_francisco,670027091,04-05,7,1940,2023,213.669
agoyan,621014469,04-06,7,1940,2023,478.152
manduriacu,670078161,04-06,7,1940,2023,664.871
minas_san_francisco,670027091,04-06,7,1940,2023,221.895
agoyan,621014469,04-07,7,1940,2023,475.128
