date,site,variable,value,source,mrid,fetched_at,raw_ref
2014-08-04,mazar,caudal_m3s,16.211619,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-05,mazar,caudal_m3s,127.573231,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-06,mazar,caudal_m3s,269.740445,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-07,mazar,caudal_m3s,97.48013,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-08,mazar,caudal_m3s,105.189342,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-09,mazar,caudal_m3s,141.980086,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-10,mazar,caudal_m3s,82.028824,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-11,mazar,caudal_m3s,74.513969,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-12,mazar,caudal_m3s,162.093876,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-13,mazar,caudal_m3s,134.058088,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-14,mazar,caudal_m3s,49.604421,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-15,mazar,caudal_m3s,158.686606,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-16,mazar,caudal_m3s,269.632669,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-17,mazar,caudal_m3s,111.142201,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-18,mazar,caudal_m3s,106.55761,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
2014-08-19,mazar,caudal_m3s,82.440912,ords:pointValues,30538,2026-09-22T13:54:04Z,celec_ords/2014/08/pointValuesMesH24.ndjson.gz#pointValuesMesH24:30538:2014-08-01
